source_symbol,kind,source_file,probable_role,new_system,new_class,confidence,evidence,note
TimeZoneInfo,Struct,dump.cs,Time,,,HIGH,dump.cs,
AssemblyLoadEventArgs,Class,dump.cs,Load,,,HIGH,dump.cs,
DateTime,Struct,dump.cs,Time,,,HIGH,dump.cs,
DateTimeOffset,Struct,dump.cs,Time,,,HIGH,dump.cs,
InvalidTimeZoneException,Class,dump.cs,Time,,,HIGH,dump.cs,
ThreadStaticAttribute,Class,dump.cs,Ads,,,HIGH,dump.cs,
TimeSpan,Struct,dump.cs,Time,,,HIGH,dump.cs,
TimeoutException,Class,dump.cs,Time,,,HIGH,dump.cs,
AppDomainUnloadedException,Class,dump.cs,Load,,,HIGH,dump.cs,
CannotUnloadAppDomainException,Class,dump.cs,Load,,,HIGH,dump.cs,
TypeLoadException,Class,dump.cs,Load,,,HIGH,dump.cs,
RuntimeArgumentHandle,Struct,dump.cs,Time,,,HIGH,dump.cs,
RuntimeFieldHandle,Struct,dump.cs,Time,,,HIGH,dump.cs,
RuntimeMethodHandle,Struct,dump.cs,Time,,,HIGH,dump.cs,
RuntimeTypeHandle,Struct,dump.cs,Time,,,HIGH,dump.cs,
SemaphoreFullException,Class,dump.cs,Map,,,HIGH,dump.cs,
ThreadStateException,Class,dump.cs,Ads,,,HIGH,dump.cs,
SemaphoreSlim,Class,dump.cs,Map,,,HIGH,dump.cs,
TaskCanceledException,Class,dump.cs,Task,,,HIGH,dump.cs,
TaskCompletionSource,Class,dump.cs,Task,,,HIGH,dump.cs,
TaskSchedulerException,Class,dump.cs,Task,,,HIGH,dump.cs,
ValueTask,Struct,dump.cs,Task,,,HIGH,dump.cs,
ValueTask,Struct,dump.cs,Task,,,HIGH,dump.cs,
Task,Class,dump.cs,Task,,,HIGH,dump.cs,
TaskFactory,Class,dump.cs,Task,,,HIGH,dump.cs,
Task,Class,dump.cs,Task,,,HIGH,dump.cs,
TaskFactory,Class,dump.cs,Task,,,HIGH,dump.cs,
UnobservedTaskExceptionEventArgs,Class,dump.cs,Task,,,HIGH,dump.cs,
IValueTaskSource,Interface,dump.cs,Task,,,HIGH,dump.cs,
IValueTaskSource,Interface,dump.cs,Task,,,HIGH,dump.cs,
IConstructionCallMessage,Interface,dump.cs,Construction,,,HIGH,dump.cs,
IConstructionReturnMessage,Interface,dump.cs,Construction,,,HIGH,dump.cs,
ConstructionCall,Class,dump.cs,Construction,,,HIGH,dump.cs,
ConstructionResponse,Class,dump.cs,Construction,,,HIGH,dump.cs,
AsyncValueTaskMethodBuilder,Struct,dump.cs,Build,,,HIGH,dump.cs,
AsyncValueTaskMethodBuilder,Struct,dump.cs,Build,,,HIGH,dump.cs,
ValueTaskAwaiter,Struct,dump.cs,Task,,,HIGH,dump.cs,
ValueTaskAwaiter,Struct,dump.cs,Task,,,HIGH,dump.cs,
TaskAwaiter,Struct,dump.cs,Task,,,HIGH,dump.cs,
TaskAwaiter,Struct,dump.cs,Task,,,HIGH,dump.cs,
ConfiguredTaskAwaitable,Struct,dump.cs,Task,,,HIGH,dump.cs,
ConfiguredTaskAwaitable,Struct,dump.cs,Task,,,HIGH,dump.cs,
ConfiguredTaskAwaitable,Struct,dump.cs,Task,,,HIGH,dump.cs,
ConfiguredTaskAwaitable,Struct,dump.cs,Task,,,HIGH,dump.cs,
AsyncVoidMethodBuilder,Struct,dump.cs,Build,,,HIGH,dump.cs,
AsyncTaskMethodBuilder,Struct,dump.cs,Build,,,HIGH,dump.cs,
AsyncTaskMethodBuilder,Struct,dump.cs,Build,,,HIGH,dump.cs,
IResourceReader,Interface,dump.cs,Resource,,,HIGH,dump.cs,
MissingManifestResourceException,Class,dump.cs,Resource,,,HIGH,dump.cs,
ResourceManager,Class,dump.cs,Resource,,,HIGH,dump.cs,
ResourceSet,Class,dump.cs,Resource,,,HIGH,dump.cs,
AssemblyBuilder,Class,dump.cs,Build,,,HIGH,dump.cs,
ConstructorBuilder,Class,dump.cs,Build,,,HIGH,dump.cs,
EventBuilder,Class,dump.cs,Build,,,HIGH,dump.cs,
ModuleBuilder,Class,dump.cs,Build,,,HIGH,dump.cs,
ParameterBuilder,Class,dump.cs,Build,,,HIGH,dump.cs,
FileLoadException,Class,dump.cs,Load,,,HIGH,dump.cs,
TreeViewItemData,Struct,dump.cs,Item,,,HIGH,dump.cs,
MeshBuilderNative,Struct,dump.cs,Build,,,HIGH,dump.cs,
MeshBuilderNative,Struct,dump.cs,Build,,,HIGH,dump.cs,
MeshBuilderNative,Struct,dump.cs,Build,,,HIGH,dump.cs,
TimerState,Struct,dump.cs,Time,,,HIGH,dump.cs,
TimeValue,Struct,dump.cs,Time,,,HIGH,dump.cs,
UQueryBuilder,Struct,dump.cs,Build,,,HIGH,dump.cs,
IVisualElementScheduledItem,Interface,dump.cs,Item,,,HIGH,dump.cs,
XmlNamedNodeMap,Class,dump.cs,Map,,,HIGH,dump.cs,
XmlArrayItemAttribute,Class,dump.cs,Item,,,HIGH,dump.cs,
XmlArrayItemAttributes,Class,dump.cs,Item,,,HIGH,dump.cs,
XmlMemberMapping,Class,dump.cs,Map,,,HIGH,dump.cs,
XmlMembersMapping,Class,dump.cs,Map,,,HIGH,dump.cs,
XmlTypeMapping,Class,dump.cs,Map,,,HIGH,dump.cs,
EnumMap,Class,dump.cs,Map,,,HIGH,dump.cs,
XmlSchemaPatternFacet,Class,dump.cs,Map,,,HIGH,dump.cs,
BuyGameButtonIAP,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPFix,Class,dump.cs,IAP,,,HIGH,dump.cs,
PortalBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
AddResourceForCrafting,Class,dump.cs,Resource,,,HIGH,dump.cs,
AddResourceToProductionBuilding,Class,dump.cs,Resource,,,HIGH,dump.cs,
AddResourceToTrainingBuilding,Class,dump.cs,Resource,,,HIGH,dump.cs,
AttackBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
ConstructBuildingAction,Class,dump.cs,Building,,,HIGH,dump.cs,
DepositInBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
EatFood,Class,dump.cs,Food,,,HIGH,dump.cs,
GetRequiredItem,Class,dump.cs,Item,,,HIGH,dump.cs,
PickResourceFromGround,Class,dump.cs,Resource,,,HIGH,dump.cs,
PickResourceFromStorage,Class,dump.cs,Resource,,,HIGH,dump.cs,
TrainInBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
WorkInResourceProductionBuilding,Class,dump.cs,Resource,,,HIGH,dump.cs,
ItemObject,Class,dump.cs,Item,,,HIGH,dump.cs,
AgentInventory,Class,dump.cs,Inventory,,,HIGH,dump.cs,
WorkerManager,Class,dump.cs,Worker,,,HIGH,dump.cs,
WorkerStats,Class,dump.cs,Worker,,,HIGH,dump.cs,
