source_symbol,kind,source_file,probable_role,new_system,new_class,confidence,evidence,note
TimeZoneInfo.get_TimeOfDay,Method,dump.cs,Time,,,HIGH,Returns: DateTime,
TimeZoneInfo.get_Day,Method,dump.cs,Day,,,HIGH,Returns: int,
TimeZoneInfo.get_DayOfWeek,Method,dump.cs,Day,,,HIGH,Returns: DayOfWeek,
TimeZoneInfo.get_DaylightName,Method,dump.cs,Day,,,HIGH,Returns: string,
DateTime.AddDays,Method,dump.cs,Day,,,HIGH,Returns: DateTime,
DateTime.get_Day,Method,dump.cs,Day,,,HIGH,Returns: int,
DateTime.get_DayOfWeek,Method,dump.cs,Day,,,HIGH,Returns: DayOfWeek,
DateTime.get_TimeOfDay,Method,dump.cs,Time,,,HIGH,Returns: TimeSpan,
DateTime.ToLocalTime,Method,dump.cs,Time,,,HIGH,Returns: DateTime,
DateTime.ToUniversalTime,Method,dump.cs,Time,,,HIGH,Returns: DateTime,
DateTimeOffset.get_DateTime,Method,dump.cs,Time,,,HIGH,Returns: DateTime,
DateTimeOffset.get_UtcDateTime,Method,dump.cs,Time,,,HIGH,Returns: DateTime,
DateTimeOffset.get_LocalDateTime,Method,dump.cs,Time,,,HIGH,Returns: DateTime,
DateTimeOffset.get_Day,Method,dump.cs,Day,,,HIGH,Returns: int,
DateTimeOffset.get_TimeOfDay,Method,dump.cs,Time,,,HIGH,Returns: TimeSpan,
DateTimeOffset.ToUniversalTime,Method,dump.cs,Time,,,HIGH,Returns: DateTimeOffset,
TimeSpan.get_Days,Method,dump.cs,Day,,,HIGH,Returns: int,
TimeSpan.get_TotalDays,Method,dump.cs,Day,,,HIGH,Returns: double,
TypeLoadException.Load,Method,dump.cs,Load,,,HIGH,Returns: Assembly,
TypeLoadException.IsFinalizingForUnload,Method,dump.cs,Load,,,HIGH,Returns: bool,
TypeLoadException.add_DomainUnload,Method,dump.cs,Load,,,HIGH,Returns: void,
TypeLoadException.remove_DomainUnload,Method,dump.cs,Load,,,HIGH,Returns: void,
TaskCompletionSource.get_Task,Method,dump.cs,Task,,,HIGH,Returns: Task<TResult>,
ValueTask.AsTask,Method,dump.cs,Task,,,HIGH,Returns: Task,
ValueTask.AsTask,Method,dump.cs,Task,,,HIGH,Returns: Task<TResult>,
AsyncValueTaskMethodBuilder.get_Task,Method,dump.cs,Task,,,HIGH,Returns: ValueTask<TResult>,
AsyncTaskMethodBuilder.get_Task,Method,dump.cs,Task,,,HIGH,Returns: Task,
AsyncTaskMethodBuilder.get_Task,Method,dump.cs,Task,,,HIGH,Returns: Task<TResult>,
TimerState.get_deltaTime,Method,dump.cs,Time,,,HIGH,Returns: long,
TimerState.get_endTimeMs,Method,dump.cs,Time,,,HIGH,Returns: long,
UQueryBuilder.Build,Method,dump.cs,Build,,,HIGH,Returns: UQueryState<T>,
XmlArrayItemAttributes.get_Item,Method,dump.cs,Item,,,HIGH,Returns: XmlArrayItemAttribute,
XmlTypeMapping.get_IsOrderDependentMap,Method,dump.cs,Map,,,HIGH,Returns: bool,
XmlTypeMapping.get_ItemInfo,Method,dump.cs,Item,,,HIGH,Returns: XmlTypeMapElementInfoList,
XmlTypeMapping.set_ItemInfo,Method,dump.cs,Item,,,HIGH,Returns: void,
PortalBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
PortalBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
PortalBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
AgentInventory.AddItem,Method,dump.cs,Item,,,HIGH,Returns: void,
AgentInventory.GetSlotItem,Method,dump.cs,Item,,,HIGH,Returns: Item,
AgentInventory.AddResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
AgentInventory.RemoveResource,Method,dump.cs,Resource,,,HIGH,Returns: int,
AgentInventory.SetResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
AgentInventory.HasResource,Method,dump.cs,Resource,,,HIGH,Returns: int,
AgentInventory.GetResourceQuantity,Method,dump.cs,Resource,,,HIGH,Returns: int,
AgentInventory.DepositInBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
AgentInventory.RemoveUnusableItems,Method,dump.cs,Item,,,HIGH,Returns: void,
AgentInventory.SendItemFromInvenetoryToStorage,Method,dump.cs,Item,,,HIGH,Returns: void,
WorkerManager.UpdateHunger,Method,dump.cs,Hunger,,,HIGH,Returns: void,
WorkerManager.GetRandomWorker,Method,dump.cs,Worker,,,HIGH,Returns: AIAgent,
WorkerManager.SpawnWorkers,Method,dump.cs,Worker,,,HIGH,Returns: void,
WorkerManager.GetTotalWorkers,Method,dump.cs,Worker,,,HIGH,Returns: int,
WorkerManager.GetDayPhase,Method,dump.cs,Day,,,HIGH,Returns: DayPhase,
WorkerManager.GetTotalPillagedResources,Method,dump.cs,Resource,,,HIGH,Returns: int,
WorkerManager.GetResourceToPillage,Method,dump.cs,Resource,,,HIGH,Returns: Resource,
WorkerManager.ReassignWorkersOfBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
WorkerManager.RemoveHutFromWorkers,Method,dump.cs,Worker,,,HIGH,Returns: void,
WorkerManager.GetWorkerJob,Method,dump.cs,Worker,,,HIGH,Returns: Jobs,
WorkerManager.GetWorkerJobString,Method,dump.cs,Worker,,,HIGH,Returns: string,
WorkerManager.ChangeJob,Method,dump.cs,Job,,,HIGH,Returns: void,
WorkerManager.ChangeJob,Method,dump.cs,Job,,,HIGH,Returns: void,
WorkerManager.AcceptNewWorker,Method,dump.cs,Worker,,,HIGH,Returns: void,
WorkerManager.RejectNewWorker,Method,dump.cs,Worker,,,HIGH,Returns: void,
WorkerManager.GetAllWorkersOfType,Method,dump.cs,Worker,,,HIGH,Returns: List<AIAgent>,
WorkerManager.GetAllWorkersOfType,Method,dump.cs,Worker,,,HIGH,Returns: List<AIAgent>,
WorkerManager.GetWorkersToAttack,Method,dump.cs,Worker,,,HIGH,Returns: List<AIAgent>,
WorkerManager.IsWorker,Method,dump.cs,Worker,,,HIGH,Returns: bool,
WorkerManager.isAliveWorker,Method,dump.cs,Worker,,,HIGH,Returns: bool,
WorkerManager.isDeadWorker,Method,dump.cs,Worker,,,HIGH,Returns: bool,
WorkerManager.isNewWorker,Method,dump.cs,Worker,,,HIGH,Returns: bool,
WorkerManager.RecycleAllDockWorkers,Method,dump.cs,Worker,,,HIGH,Returns: void,
WorkerManager.IsJob,Method,dump.cs,Job,,,HIGH,Returns: bool,
WorkerStats.GetAttackTime,Method,dump.cs,Time,,,HIGH,Returns: float,
WorkerStats.BruteHealth,Method,dump.cs,Health,,,HIGH,Returns: void,
WorkerStats.ResetHealth,Method,dump.cs,Health,,,HIGH,Returns: void,
WorkerStats.HideHealthBar,Method,dump.cs,Health,,,HIGH,Returns: void,
WorkerStats.ReduceHealth,Method,dump.cs,Health,,,HIGH,Returns: void,
WorkerStats.IncreaseHunger,Method,dump.cs,Hunger,,,HIGH,Returns: void,
AcademyBuilding.get_WorkerSkills,Method,dump.cs,Worker,,,HIGH,Returns: List<Skills>,
AcademyBuilding.get_IsWorkerAdded,Method,dump.cs,Worker,,,HIGH,Returns: bool,
AcademyBuilding.get_HasWorkerReached,Method,dump.cs,Worker,,,HIGH,Returns: bool,
AcademyBuilding.GetRequiredResources,Method,dump.cs,Resource,,,HIGH,Returns: Resource,
AcademyBuilding.AddWorker,Method,dump.cs,Worker,,,HIGH,Returns: void,
AcademyBuilding.ReleaseWorker,Method,dump.cs,Worker,,,HIGH,Returns: void,
AcademyBuilding.OnWorkerReachingBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
AcademyBuilding.DeductResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
AcademyBuilding.GetCurrentWorker,Method,dump.cs,Worker,,,HIGH,Returns: AIAgent,
AcademyBuilding.GetResource,Method,dump.cs,Resource,,,HIGH,Returns: Resource,
AcademyBuilding.GetResourceTotalQuantity,Method,dump.cs,Resource,,,HIGH,Returns: int,
AcademyBuilding.GetResourceNeededQuantity,Method,dump.cs,Resource,,,HIGH,Returns: int,
AcademyBuilding.GetWorkerSkills,Method,dump.cs,Worker,,,HIGH,Returns: void,
AcademyBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
AcademyBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
AcademyBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
BonfireBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
BonfireBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
BonfireBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
BuildingInstance.AddUnderConstructionResourceStorage,Method,dump.cs,Resource,,,HIGH,Returns: void,
BuildingInstance.PlaceBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
BuildingInstance.ShowUnderConstructionResources,Method,dump.cs,Resource,,,HIGH,Returns: void,
BuildingInstance.DepositResource,Method,dump.cs,Resource,,,HIGH,Returns: int,
BuildingInstance.UpdateResourceRing,Method,dump.cs,Resource,,,HIGH,Returns: void,
BuildingInstance.HasEnoughResourcesToStartConstruction,Method,dump.cs,Resource,,,HIGH,Returns: bool,
BuildingInstance.UpdateConstruction,Method,dump.cs,Construction,,,HIGH,Returns: void,
BuildingInstance.SetEmissionRateOverTime,Method,dump.cs,Time,,,HIGH,Returns: void,
BuildingInstance.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
BuildingInstance.IsConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: bool,
BuildingInstance.RequiresWorkers,Method,dump.cs,Worker,,,HIGH,Returns: bool,
BuildingInstance.hasWorkers,Method,dump.cs,Worker,,,HIGH,Returns: bool,
BuildingInstance.GetWorkers,Method,dump.cs,Worker,,,HIGH,Returns: List<AIAgent>,
BuildingInstance.GetWorkerCount,Method,dump.cs,Worker,,,HIGH,Returns: int,
BuildingInstance.GetMaxWorkers,Method,dump.cs,Worker,,,HIGH,Returns: int,
BuildingInstance.PauseConstruction,Method,dump.cs,Construction,,,HIGH,Returns: void,
BuildingInstance.ResumeConstruction,Method,dump.cs,Construction,,,HIGH,Returns: void,
BuildingInstance.RepairBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
BuildingLevels.UpdateHealth,Method,dump.cs,Health,,,HIGH,Returns: void,
DockBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
DockBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
DockBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
DockBuilding.StartExpedition,Method,dump.cs,Expedition,,,HIGH,Returns: void,
DockBuilding.UpdateAddedResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
HutBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
HutBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
HutBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
ResourceProductionBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
ResourceProductionBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
ResourceProductionBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
ResourceProductionBuilding.GetRequiredResources,Method,dump.cs,Resource,,,HIGH,Returns: Resource,
ResourceProductionBuilding.DepositResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
ResourceStorageBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
ResourceStorageBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
ResourceStorageBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
ResourceStorageBuilding.GetTotalStoredResources,Method,dump.cs,Resource,,,HIGH,Returns: int,
RoadAndBridgeBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
RoadAndBridgeBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
RoadAndBridgeBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
TitanUpgradeBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
TitanUpgradeBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
TitanUpgradeBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
TrainingBuilding.OnConstructionComplete,Method,dump.cs,Construction,,,HIGH,Returns: void,
TrainingBuilding.DestroyBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
TrainingBuilding.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
TrainingBuilding.GetRequiredResources,Method,dump.cs,Resource,,,HIGH,Returns: Resource,
TrainingBuilding.DepositResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
Minimap.InitializeMap,Method,dump.cs,Map,,,HIGH,Returns: void,
DayNightController.GetDayCycleLength,Method,dump.cs,Day,,,HIGH,Returns: float,
DayNightController.GetNormalizedCycleTime,Method,dump.cs,Time,,,HIGH,Returns: float,
DayNightController.SetDay,Method,dump.cs,Day,,,HIGH,Returns: void,
DayNightController.SetNight,Method,dump.cs,Night,,,HIGH,Returns: void,
DayNightController.GetCurrentDayPhase,Method,dump.cs,Day,,,HIGH,Returns: DayPhase,
MapChunk.GetBuilding,Method,dump.cs,Building,,,HIGH,Returns: BuildingInstance,
BuildingDetails.GetMaxHealth,Method,dump.cs,Health,,,HIGH,Returns: int,
BuildingData.GetBuildingData,Method,dump.cs,Building,,,HIGH,Returns: BuildingDetails,
ItemData.GetItemDetails,Method,dump.cs,Item,,,HIGH,Returns: ItemDetails,
