source_symbol,kind,source_file,probable_role,new_system,new_class,confidence,evidence,note
DateTimeKind,Enum,dump.cs,Time,,,HIGH,dump.cs,
DayOfWeek,Enum,dump.cs,Day,,,HIGH,dump.cs,
LazyThreadSafetyMode,Enum,dump.cs,Ads,,,HIGH,dump.cs,
ThreadState,Enum,dump.cs,Ads,,,HIGH,dump.cs,
TaskStatus,Enum,dump.cs,Task,,,HIGH,dump.cs,
TaskCreationOptions,Enum,dump.cs,Task,,,HIGH,dump.cs,
TaskContinuationOptions,Enum,dump.cs,Task,,,HIGH,dump.cs,
ValueTaskSourceOnCompletedFlags,Enum,dump.cs,Task,,,HIGH,dump.cs,
ValueTaskSourceStatus,Enum,dump.cs,Task,,,HIGH,dump.cs,
LoadHint,Enum,dump.cs,Load,,,HIGH,dump.cs,
UltimateResourceFallbackLocation,Enum,dump.cs,Resource,,,HIGH,dump.cs,
DateTimeStyles,Enum,dump.cs,Time,,,HIGH,dump.cs,
TimeSpanStyles,Enum,dump.cs,Time,,,HIGH,dump.cs,
TimeUnit,Enum,dump.cs,Time,,,HIGH,dump.cs,
ReadState,Enum,dump.cs,Ads,,,HIGH,dump.cs,
XmlDateTimeSerializationMode,Enum,dump.cs,Time,,,HIGH,dump.cs,
ItemSlots,Enum,dump.cs,Item,,,HIGH,dump.cs,
DayPhase,Enum,dump.cs,Day,,,HIGH,dump.cs,
Building,Enum,dump.cs,Building,,,HIGH,dump.cs,
Item,Enum,dump.cs,Item,,,HIGH,dump.cs,
ItemType,Enum,dump.cs,Item,,,HIGH,dump.cs,
Jobs,Enum,dump.cs,Job,,,HIGH,dump.cs,
Resource,Enum,dump.cs,Resource,,,HIGH,dump.cs,
BuildingDetailOption,Enum,dump.cs,Building,,,HIGH,dump.cs,
SaveSlots,Enum,dump.cs,Save,,,HIGH,dump.cs,
WorldMapTile,Enum,dump.cs,Map,,,HIGH,dump.cs,
Tonemapping,Enum,dump.cs,Map,,,HIGH,dump.cs,
Tonemapping,Enum,dump.cs,Map,,,HIGH,dump.cs,
TonemappingMode,Enum,dump.cs,Map,,,HIGH,dump.cs,
DataSetDateTime,Enum,dump.cs,Time,,,HIGH,dump.cs,
MappingType,Enum,dump.cs,Map,,,HIGH,dump.cs,
XmlWriteMode,Enum,dump.cs,Item,,,HIGH,dump.cs,
AssetLoadingSubsystem,Enum,dump.cs,Load,,,HIGH,dump.cs,
RuntimePlatform,Enum,dump.cs,Time,,,HIGH,dump.cs,
LightmapBakeType,Enum,dump.cs,Map,,,HIGH,dump.cs,
CubemapFace,Enum,dump.cs,Map,,,HIGH,dump.cs,
LightmapsMode,Enum,dump.cs,Map,,,HIGH,dump.cs,
RuntimeInitializeLoadType,Enum,dump.cs,Time,,,HIGH,dump.cs,
SpriteMeshType,Enum,dump.cs,Item,,,HIGH,dump.cs,
LoadSceneMode,Enum,dump.cs,Load,,,HIGH,dump.cs,
RenderBufferLoadAction,Enum,dump.cs,Load,,,HIGH,dump.cs,
ColorWriteMask,Enum,dump.cs,Item,,,HIGH,dump.cs,
ReloadAttribute,Enum,dump.cs,Load,,,HIGH,dump.cs,
DateTimeZoneHandling,Enum,dump.cs,Time,,,HIGH,dump.cs,
LoaderGameEvent,Enum,dump.cs,Load,,,HIGH,dump.cs,
BankLoadType,Enum,dump.cs,Load,,,HIGH,dump.cs,
TIMEUNIT,Enum,dump.cs,Time,,,HIGH,dump.cs,
DSP_PARAMETER_FLOAT_MAPPING_TYPE,Enum,dump.cs,Map,,,HIGH,dump.cs,
LOADING_STATE,Enum,dump.cs,Load,,,HIGH,dump.cs,
LOAD_BANK_FLAGS,Enum,dump.cs,Load,,,HIGH,dump.cs,
Tonemapper,Enum,dump.cs,Map,,,HIGH,dump.cs,
TimelineClip,Enum,dump.cs,Time,,,HIGH,dump.cs,
TimelineClip,Enum,dump.cs,Time,,,HIGH,dump.cs,
TimelineAsset,Enum,dump.cs,Time,,,HIGH,dump.cs,
TimelineAsset,Enum,dump.cs,Time,,,HIGH,dump.cs,
TimeFieldAttribute,Enum,dump.cs,Time,,,HIGH,dump.cs,
LeaderboardTimeSpan,Enum,dump.cs,Time,,,HIGH,dump.cs,
LoadFriendsStatus,Enum,dump.cs,Load,,,HIGH,dump.cs,
SavedGameRequestStatus,Enum,dump.cs,Save,,,HIGH,dump.cs,
LoadOptions,Enum,dump.cs,Load,,,HIGH,dump.cs,
SaveOptions,Enum,dump.cs,Save,,,HIGH,dump.cs,
IAPButton,Enum,dump.cs,IAP,,,HIGH,dump.cs,
GlyphLoadFlags,Enum,dump.cs,Load,,,HIGH,dump.cs,
TimeScope,Enum,dump.cs,Time,,,HIGH,dump.cs,
AdSize,Enum,dump.cs,Ads,,,HIGH,dump.cs,
LoadingManagerMode,Enum,dump.cs,Load,,,HIGH,dump.cs,
FmodResonanceAudioRoom,Enum,dump.cs,Audio,,,HIGH,dump.cs,
ConfigurationSaveMode,Enum,dump.cs,Save,,,HIGH,dump.cs,
