source_symbol,kind,source_file,probable_role,new_system,new_class,confidence,evidence,note
TimeZoneInfo.localtimeFilePath,Field,dump.cs,Time,,,HIGH,Type: string,
TimeZoneInfo.timeZoneDirectory,Field,dump.cs,Time,,,HIGH,Type: string,
ValueTaskAwaiter.task,Field,dump.cs,Task,,,HIGH,Type: Task,
AsyncTaskMethodBuilder.innerTask,Field,dump.cs,Task,,,HIGH,Type: Task,
TimerState.timerUpdateStopCondition,Field,dump.cs,Time,,,HIGH,Type: Func<bool>,
DepositInBuilding.enemyFound,Field,dump.cs,Enemy,,,HIGH,Type: bool,
AgentInventory.resourcesOnCharacter,Field,dump.cs,Resource,,,HIGH,Type: GameObject[],
AgentInventory.hasItemInSlot,Field,dump.cs,Item,,,HIGH,Type: bool[],
AgentInventory.itemInSlot,Field,dump.cs,Item,,,HIGH,Type: Item[],
AgentInventory.possibleItems,Field,dump.cs,Item,,,HIGH,Type: ItemObject[],
WorkerManager.mWorkers,Field,dump.cs,Worker,,,HIGH,Type: List<AIAgent>[],
WorkerManager.deadWorkers,Field,dump.cs,Worker,,,HIGH,Type: List<AIAgent>,
WorkerManager.workerPositions,Field,dump.cs,Worker,,,HIGH,"Type: int[,]",
WorkerStats.maxHealth,Field,dump.cs,Health,,,HIGH,Type: int,
WorkerStats.myHealth,Field,dump.cs,Health,,,HIGH,Type: int,
WorkerStats.healthBar,Field,dump.cs,Health,,,HIGH,Type: Slider,
AcademyBuilding.totalTime,Field,dump.cs,Time,,,HIGH,Type: float,
AcademyBuilding.currentTime,Field,dump.cs,Time,,,HIGH,Type: float,
AcademyBuilding.academyBuildingData,Field,dump.cs,Building,,,HIGH,Type: AcademyBuildingData,
AcademyBuildingData.IsWorkerAdded,Field,dump.cs,Worker,,,HIGH,Type: bool,
AcademyBuildingData.HasWorkerReached,Field,dump.cs,Worker,,,HIGH,Type: bool,
AcademyBuildingData.currentTime,Field,dump.cs,Time,,,HIGH,Type: float,
BuildingInstance.currentHealth,Field,dump.cs,Health,,,HIGH,Type: int,
BuildingInstance.constructionAnimator,Field,dump.cs,Construction,,,HIGH,Type: Animator,
BuildingInstance.resourceStorage,Field,dump.cs,Resource,,,HIGH,Type: ResourceStorageBuilding,
BuildingInstance.requiredResources,Field,dump.cs,Resource,,,HIGH,Type: ProductionRequirements[],
BuildingInstance.underConstructionParticles,Field,dump.cs,Construction,,,HIGH,Type: ParticleSystem,
BuildingInstance.finishConstruction,Field,dump.cs,Construction,,,HIGH,Type: ParticleSystem[],
BuildingInstance.hideOnPlaceBuilding,Field,dump.cs,Building,,,HIGH,Type: GameObject,
BuildingInstance.buildingCollider,Field,dump.cs,Building,,,HIGH,Type: Collider,
StoredItemData.requiredResources,Field,dump.cs,Resource,,,HIGH,Type: ProductionRequirements[],
DockBuilding.addedFood,Field,dump.cs,Food,,,HIGH,Type: int,
ResourceProductionBuilding.requiredResources,Field,dump.cs,Resource,,,HIGH,Type: ProductionRequirements[],
ResourceProductionBuilding.nextRequiredResource,Field,dump.cs,Resource,,,HIGH,Type: Resource,
ResourceProductionBuilding.normalizedTime,Field,dump.cs,Time,,,HIGH,Type: float,
ResourceStorageBuilding.storedResources,Field,dump.cs,Resource,,,HIGH,Type: int[],
TitanUpgradeBuilding.reqResources,Field,dump.cs,Resource,,,HIGH,Type: Resource,
TrainingBuilding.requiredResources,Field,dump.cs,Resource,,,HIGH,Type: ProductionRequirements,
TrainingBuilding.normalizedTime,Field,dump.cs,Time,,,HIGH,Type: float,
DungeonResourceUI.resourceNames,Field,dump.cs,Resource,,,HIGH,Type: Text[],
DungeonResourceUI.resourceIcons,Field,dump.cs,Resource,,,HIGH,Type: Image[],
WorkerAttributes.inventoryData,Field,dump.cs,Inventory,,,HIGH,Type: Item[],
Minimap.miniMapGrid,Field,dump.cs,Map,,,HIGH,"Type: Image[,]",
DayNightController.currentCycleTime,Field,dump.cs,Time,,,HIGH,Type: float,
DayNightController.worldTimeHour,Field,dump.cs,Time,,,HIGH,Type: int,
MapChunk.assosicatedBuilding,Field,dump.cs,Building,,,HIGH,Type: BuildingInstance,
BuildingDetails.labourRequiredToBuild,Field,dump.cs,Build,,,HIGH,Type: int,
BuildingDetails.buildOn,Field,dump.cs,Build,,,HIGH,Type: BuiltOn,
BuildingDetails.requiresBuilding,Field,dump.cs,Building,,,HIGH,Type: bool,
BuildingDetails.requiredBuilding,Field,dump.cs,Building,,,HIGH,Type: Building,
BuildingDetails.numberOfResourcesRequired,Field,dump.cs,Resource,,,HIGH,Type: int,
BuildingDetails.maxWorkers,Field,dump.cs,Worker,,,HIGH,Type: int,
BuildingDetails.buildingJob,Field,dump.cs,Building,,,HIGH,Type: Jobs,
BuildingData.BuildingsData,Field,dump.cs,Building,,,HIGH,Type: BuildingDetails[],
ItemDetails.buildingLevel,Field,dump.cs,Building,,,HIGH,Type: int,
ItemDetails.numberOfResourcesRequired,Field,dump.cs,Resource,,,HIGH,Type: int,
ItemData.ItemsData,Field,dump.cs,Item,,,HIGH,Type: ItemDetails[],
JobDetails.requiredBuilding,Field,dump.cs,Building,,,HIGH,Type: Building,
JobDetails.requiresItem,Field,dump.cs,Item,,,HIGH,Type: bool,
JobDetails.requiredItem,Field,dump.cs,Item,,,HIGH,Type: ItemType,
JobDetails.JobActions,Field,dump.cs,Job,,,HIGH,Type: int,
JobDetails.hasRightHandItem,Field,dump.cs,Item,,,HIGH,Type: bool,
JobDetails.rightHandItem,Field,dump.cs,Item,,,HIGH,Type: ItemType,
JobDetails.hasLeftHandItem,Field,dump.cs,Item,,,HIGH,Type: bool,
JobDetails.leftHandItem,Field,dump.cs,Item,,,HIGH,Type: ItemType,
JobDetails.hasCarryItem,Field,dump.cs,Item,,,HIGH,Type: bool,
JobDetails.carryItem,Field,dump.cs,Item,,,HIGH,Type: ItemType,
JobDetails.hasArmorItem,Field,dump.cs,Item,,,HIGH,Type: bool,
JobDetails.armorItem,Field,dump.cs,Item,,,HIGH,Type: ItemType,
JobData.mJobsData,Field,dump.cs,Job,,,HIGH,Type: JobDetails[],
ResourceData.ResourcePrefabs,Field,dump.cs,Resource,,,HIGH,Type: ResourceInstance[],
