class_name,method_name,field_or_enum,probable_role,new_contract_or_class,confidence
Unknown,AddResourceToBuildingAction,Unknown,Found in metadata,ResourceSystem,MEDIUM
Unknown,RenderGraphResourcePool,Unknown,Found in metadata,ResourceSystem,MEDIUM
Unknown,s_Resources,Unknown,Found in metadata,ResourcesSystem,MEDIUM
Unknown,GetMessageFromNativeResources,Unknown,Found in metadata,ResourcesSystem,MEDIUM
Unknown,ShowBuildingDetails,Unknown,Found in metadata,BuildingSystem,MEDIUM
Unknown,AddResourceForProductionBuilding,Unknown,Found in metadata,BuildingSystem,MEDIUM
Unknown,BuildPurchases,Unknown,Found in metadata,BuildSystem,MEDIUM
Unknown,ShowBuildingDetails,Unknown,Found in metadata,BuildSystem,MEDIUM
Unknown,openVillagers,Unknown,Found in metadata,VillagerSystem,MEDIUM
Unknown,OpenVillagers,Unknown,Found in metadata,VillagerSystem,MEDIUM
Unknown,GetWorkersDataForDungeon,Unknown,Found in metadata,WorkerSystem,MEDIUM
Unknown,OnAddWorkerClick,Unknown,Found in metadata,WorkerSystem,MEDIUM
Unknown,CreateTask,Unknown,Found in metadata,TaskSystem,MEDIUM
Unknown,TaskFactory,Unknown,Found in metadata,TaskSystem,MEDIUM
Unknown,TScheduleBatchedScriptingJobsAndIsCompleted,Unknown,Found in metadata,JobSystem,MEDIUM
Unknown,CreateJob,Unknown,Found in metadata,JobSystem,MEDIUM
Unknown,XsdKatmaiDateTimeOffsetToString,Unknown,Found in metadata,TimeSystem,MEDIUM
Unknown,ReadAsDateTimeOffset,Unknown,Found in metadata,TimeSystem,MEDIUM
Unknown,AddDays,Unknown,Found in metadata,DaySystem,MEDIUM
Unknown,GetDay,Unknown,Found in metadata,DaySystem,MEDIUM
Unknown,emissionNight,Unknown,Found in metadata,NightSystem,MEDIUM
Unknown,rightmidimidnightbluemifmillisecondmillisecondsDelaymillisecondsTimeoutmimeminmin,Unknown,Found in metadata,NightSystem,MEDIUM
Unknown,SaveTraceToException,Unknown,Found in metadata,SaveSystem,MEDIUM
Unknown,hasSaveFile,Unknown,Found in metadata,SaveSystem,MEDIUM
Unknown,LOAD_BITMAP_METRICS_ONLY,Unknown,Found in metadata,LoadSystem,MEDIUM
Unknown,isUploaded,Unknown,Found in metadata,LoadSystem,MEDIUM
Unknown,inventoryData,Unknown,Found in metadata,InventorySystem,MEDIUM
Unknown,AgentInventory,Unknown,Found in metadata,InventorySystem,MEDIUM
Unknown,DropItem,Unknown,Found in metadata,ItemSystem,MEDIUM
Unknown,SetItem,Unknown,Found in metadata,ItemSystem,MEDIUM
