objectPathId,objectName,scriptPathId,matchedClassName,matchedNamespace,fieldsFromDump,confidence,evidence,notes
761,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
803,Instance_of_BuyGameButtonIAP,823,BuyGameButtonIAP,,UNKNOWN,HIGH,MonoScript PPtr,
816,Instance_of_BuyGameButtonIAP,823,BuyGameButtonIAP,,UNKNOWN,HIGH,MonoScript PPtr,
895,Instance_of_BuyGameButtonIAP,823,BuyGameButtonIAP,,UNKNOWN,HIGH,MonoScript PPtr,
1496,Instance_of_UnleashedController,212,UnleashedController,,UNKNOWN,HIGH,MonoScript PPtr,
1598,Instance_of_ScrollDeadZoneEnabler,1471,ScrollDeadZoneEnabler,,UNKNOWN,HIGH,MonoScript PPtr,
1729,Instance_of_FirebaseInit,324,FirebaseInit,,UNKNOWN,HIGH,MonoScript PPtr,
1988,Instance_of_TvOSFunctions,1631,TvOSFunctions,,UNKNOWN,HIGH,MonoScript PPtr,
2671,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
2709,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
2740,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
2758,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
2868,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
2881,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
2887,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
2889,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
2994,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
3045,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
3055,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
3058,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
3098,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
12445,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
12571,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
12593,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
12796,Instance_of_ScrollDeadZoneEnabler,1471,ScrollDeadZoneEnabler,,UNKNOWN,HIGH,MonoScript PPtr,
