pathId,typeName,name,scriptPathId,serializedSize,rawByteLength,containerPath,notes
1,PlayerSettings,,,920,920,data.unity3d,
2,InputManager,,,11484,11484,data.unity3d,
3,TagManager,,,336,336,data.unity3d,
4,AudioManager,,,48,48,data.unity3d,
5,ScriptMapper,,,16001,16001,data.unity3d,
6,MonoManager,,,95908,95908,data.unity3d,
7,GraphicsSettings,,,834,834,data.unity3d,
8,TimeManager,,,16,16,data.unity3d,
9,DelayedCallManager,,,0,0,data.unity3d,
10,PhysicsManager,,,272,272,data.unity3d,
11,BuildSettings,,,488,488,data.unity3d,
12,QualitySettings,,,1932,1932,data.unity3d,
13,ResourceManager,,,1834804,1834804,data.unity3d,
14,NavMeshProjectSettings,,,372,372,data.unity3d,
15,Physics2DSettings,,,280,280,data.unity3d,
17,RuntimeInitializeOnLoadManager,,,0,0,data.unity3d,
18,UnityConnectSettings,,,248,248,data.unity3d,
19,StreamingManager,,,0,0,data.unity3d,
20,VFXManager,,,100,100,data.unity3d,
6,Shader,,,11168,11168,data.unity3d,
7,Shader,,,12944,12944,data.unity3d,
19,Shader,,,2976,2976,data.unity3d,
62,Shader,,,28008,28008,data.unity3d,
64,Shader,,,14092,14092,data.unity3d,
65,Shader,,,3536,3536,data.unity3d,
66,Shader,,,3224,3224,data.unity3d,
67,Shader,,,3132,3132,data.unity3d,
68,Shader,,,3672,3672,data.unity3d,
69,Shader,,,14672,14672,data.unity3d,
74,Shader,,,7020,7020,data.unity3d,
75,Shader,,,8636,8636,data.unity3d,
102,Shader,,,3204,3204,data.unity3d,
105,Shader,,,3284,3284,data.unity3d,
107,Shader,,,3348,3348,data.unity3d,
109,Shader,,,2564,2564,data.unity3d,
110,Shader,,,2500,2500,data.unity3d,
111,Shader,,,4480,4480,data.unity3d,
113,Shader,,,7980,7980,data.unity3d,
9000,Shader,,,5836,5836,data.unity3d,
9001,Shader,,,5648,5648,data.unity3d,
9002,Shader,,,5540,5540,data.unity3d,
9003,Shader,,,5812,5812,data.unity3d,
9004,Shader,,,7460,7460,data.unity3d,
9007,Shader,,,8156,8156,data.unity3d,
9100,Shader,,,11132,11132,data.unity3d,
9101,Shader,,,4088,4088,data.unity3d,
9102,Shader,,,11072,11072,data.unity3d,
10753,Shader,,,4740,4740,data.unity3d,
10757,Shader,,,4600,4600,data.unity3d,
10770,Shader,,,5408,5408,data.unity3d,
10783,Shader,,,5488,5488,data.unity3d,
15104,Shader,,,5768,5768,data.unity3d,
15105,Shader,,,5616,5616,data.unity3d,
15106,Shader,,,6064,6064,data.unity3d,
15304,Shader,,,2500,2500,data.unity3d,
15308,Shader,,,27104,27104,data.unity3d,
15309,Shader,,,3288,3288,data.unity3d,
15312,Shader,,,4704,4704,data.unity3d,
16000,Shader,,,3360,3360,data.unity3d,
16001,Shader,,,20600,20600,data.unity3d,
16003,Shader,,,8704,8704,data.unity3d,
17000,Shader,,,3408,3408,data.unity3d,
19011,Shader,,,5988,5988,data.unity3d,
1,PreloadData,,,205,205,data.unity3d,
2,Material,,,304,304,data.unity3d,
3,Texture2D,,,172,172,data.unity3d,
4,Texture2D,,,160,160,data.unity3d,
5,Texture2D,,,156,156,data.unity3d,
6,Texture2D,,,160,160,data.unity3d,
7,Texture2D,,,160,160,data.unity3d,
8,Texture2D,,,160,160,data.unity3d,
9,Texture2D,,,160,160,data.unity3d,
10,Texture2D,,,160,160,data.unity3d,
11,Texture2D,,,160,160,data.unity3d,
12,Texture2D,,,160,160,data.unity3d,
13,Texture2D,,,160,160,data.unity3d,
14,Texture2D,,,160,160,data.unity3d,
15,Texture2D,,,156,156,data.unity3d,
16,Texture2D,,,160,160,data.unity3d,
17,Texture2D,,,156,156,data.unity3d,
18,Texture2D,,,156,156,data.unity3d,
19,Texture2D,,,160,160,data.unity3d,
20,Texture2D,,,160,160,data.unity3d,
21,Texture2D,,,160,160,data.unity3d,
22,Texture2D,,,160,160,data.unity3d,
23,Texture2D,,,156,156,data.unity3d,
24,Texture2D,,,160,160,data.unity3d,
25,Texture2D,,,160,160,data.unity3d,
26,Texture2D,,,156,156,data.unity3d,
27,Texture2D,,,156,156,data.unity3d,
28,Texture2D,,,160,160,data.unity3d,
29,Texture2D,,,160,160,data.unity3d,
